produit,categorie,annee,prix_mad_par_kg,prix_usd_par_kg,produit_faostat,code_produit_cpc,drapeau_qualite,source,source_url
Orge,Céréales,2008,2.99,0.386,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2009,1.6,0.199,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2010,1.71,0.203,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2011,2.25,0.278,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2012,2.92,0.338,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2013,2.3,0.274,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2014,2.37,0.282,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2015,2.05,0.21,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2016,2.78,0.284,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2017,2.19,0.226,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2018,1.9,0.202,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2019,2.0,0.207,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2020,2.35,0.248,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2021,2.6,0.289,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2022,3.77,0.371,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2023,3.46,0.342,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2024,4.54,0.457,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2000,6.65,0.626,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2001,6.77,0.599,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2002,6.79,0.616,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2003,5.98,0.625,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2004,6.14,0.692,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2005,6.68,0.754,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2006,5.43,0.617,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2007,7.09,0.865,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2008,7.1,0.916,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2009,7.22,0.896,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2010,7.1,0.844,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2011,7.13,0.881,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2012,7.61,0.882,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2013,7.12,0.847,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2014,6.31,0.751,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2015,6.68,0.684,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2016,7.22,0.736,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2017,4.22,0.436,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2018,5.2,0.554,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2019,4.28,0.446,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2020,4.8,0.505,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2021,5.46,0.608,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2022,6.41,0.631,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2023,6.71,0.662,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Bananes,Fruits,2024,6.51,0.655,Bananas,'01312,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2000,2.63,0.248,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2001,2.82,0.25,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2002,2.62,0.238,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2003,2.46,0.257,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2004,2.87,0.324,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2005,3.09,0.349,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Clémentines,Fruits,2006,2.36,0.268,"Tangerines, mandarins, clementines",'01324,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
