product_id,produit,categorie,unite,url,prix
mangue-avion-1kg,MANGUE AVION 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/mangue-avion-1kg/,31.95
melon-cantaloup-1kg,MELON CANTALOUP 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/melon-cantaloup-1kg/,14.95
melon-jaune-marhoum-a-la-piece-2kg,MELON JAUNE MARHOUM A LA PIECE 2KG,fruits-legumes,2kg,https://aswakassalam.com/produit/melon-jaune-marhoum-a-la-piece-2kg/,16.0
nectarine-1kg,NECTARINE 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/nectarine-1kg/,15.95
orange-a-jus-1kg,ORANGE A JUS 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/orange-a-jus-1kg/,8.95
peche-1kg,PECHE 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/peche-1kg/,15.95
piment-fort-barquette-500g,PIMENT FORT BARQUETTE 500G,fruits-legumes,500g,https://aswakassalam.com/produit/piment-fort-barquette-500g/,7.0
poire-william-au-kg,POIRE WILLIAM AU KG,fruits-legumes,,https://aswakassalam.com/produit/poire-william-au-kg/,32.95
poireau-1kg,POIREAU 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/poireau-1kg/,18.95
poivron-rouge-1kg,POIVRON ROUGE 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/poivron-rouge-1kg/,16.95
pomme-de-terre-blanche-1kg,POMME DE TERRE BLANCHE 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/pomme-de-terre-blanche-1kg/,7.95
pomme-rouge-1-kg,POMME ROUGE 1 KG,fruits-legumes,1 kg,https://aswakassalam.com/produit/pomme-rouge-1-kg/,19.95
pomme-rouge-import-1kg,POMME ROUGE IMPORT 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/pomme-rouge-import-1kg/,34.95
potiron-1kg,POTIRON 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/potiron-1kg/,9.95
prune-noir-1kg,PRUNE NOIR 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/prune-noir-1kg/,21.95
raisin-blanc-1kg,RAISIN BLANC 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/raisin-blanc-1kg/,14.95
romarin-botte,ROMARIN BOTTE,fruits-legumes,,https://aswakassalam.com/produit/romarin-botte/,6.5
salade-lolo-rouge-piece,SALADE LOLO ROUGE PIECE,fruits-legumes,,https://aswakassalam.com/produit/salade-lolo-rouge-piece/,6.95
salade-lolo-vert-piece,SALADE LOLO VERT PIECE,fruits-legumes,,https://aswakassalam.com/produit/salade-lolo-vert-piece/,6.5
thym-botte,THYM BOTTE,fruits-legumes,,https://aswakassalam.com/produit/thym-botte/,5.95
brochettes-de-poulet-aux-3-poivrons-1kg,BROCHETTES DE POULET AUX 3 POIVRONS 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/brochettes-de-poulet-aux-3-poivrons-1kg/,86.95
burger-de-boeuf-1kg,BURGER DE BOEUF 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/burger-de-boeuf-1kg/,144.95
coquelet-a-la-piece,COQUELET A LA PIECE,boucherie-volaille,,https://aswakassalam.com/produit/coquelet-a-la-piece/,27.9
cote-de-veau-1-kg,COTE DE VEAU 1 KG,boucherie-volaille,1 kg,https://aswakassalam.com/produit/cote-de-veau-1-kg/,127.9
cuisse-de-poulet-1kg,CUISSE DE POULET 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/cuisse-de-poulet-1kg/,39.9
cuisses-de-poulet-farcies-a-la-feta-1kg,CUISSES DE POULET FARCIES A LA FETA 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/cuisses-de-poulet-farcies-a-la-feta-1kg/,60.95
entrecote-de-boeuf-1kg,ENTRECOTE DE BOEUF 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/entrecote-de-boeuf-1kg/,149.95
faux-filet-new-york-05kg,"FAUX FILET NEW YORK 0,5KG",boucherie-volaille,5kg,https://aswakassalam.com/produit/faux-filet-new-york-05kg/,77.5
filet-de-poulet-1kg,FILET DE POULET 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/filet-de-poulet-1kg/,59.9
gigot-d%c2%92agneau-entier-%c2%93calibre-2kg%c2%94,GIGOT DAGNEAU ENTIER CALIBRE +-2KG,boucherie-volaille,2kg,https://aswakassalam.com/produit/gigot-d%c2%92agneau-entier-%c2%93calibre-2kg%c2%94/,345.8
haut-de-cuisse-de-poulet-1kg,HAUT DE CUISSE DE POULET 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/haut-de-cuisse-de-poulet-1kg/,33.9
jarret-de-boeuf-avec-os-1kg,JARRET DE BOEUF AVEC OS 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/jarret-de-boeuf-avec-os-1kg/,141.9
merguez-de-boeuf-1kg,MERGUEZ DE BOEUF 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/merguez-de-boeuf-1kg/,111.9
pied-de-veau,PIED DE VEAU,boucherie-volaille,,https://aswakassalam.com/produit/pied-de-veau/,164.9
pilons-de-poulet-1kg,PILONS DE POULET 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/pilons-de-poulet-1kg/,45.9
poulet-entier-1-piece,POULET ENTIER 1 PIECE,boucherie-volaille,,https://aswakassalam.com/produit/poulet-entier-1-piece/,52.5
poulet-fermier-a-la-piece,POULET FERMIER A LA PIECE,boucherie-volaille,,https://aswakassalam.com/produit/poulet-fermier-a-la-piece/,139.0
queue-de-boeuf-1kg,QUEUE DE BOEUF 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/queue-de-boeuf-1kg/,104.95
saucisse-de-dinde-1kg,SAUCISSE DE DINDE 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/saucisse-de-dinde-1kg/,49.95
saucisse-de-poulet-1kg,SAUCISSE DE POULET 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/saucisse-de-poulet-1kg/,56.9
steak-de-boeuf-1kg,STEAK DE BOEUF 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/steak-de-boeuf-1kg/,145.9
tagine-de-boeuf-extra-1kg,TAGINE DE BOEUF EXTRA 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/tagine-de-boeuf-extra-1kg/,125.95
viande-hachee-de-boeuf-avec-graisse-1kg,VIANDE HACHEE DE BOEUF AVEC GRAISSE 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/viande-hachee-de-boeuf-avec-graisse-1kg/,119.95
viande-hachee-de-boeuf-nature-1kg,VIANDE HACHEE DE BOEUF NATURE 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/viande-hachee-de-boeuf-nature-1kg/,132.9
wings-de-poulet-marinees-1kg,WINGS DE POULET MARINEES 1KG,boucherie-volaille,1kg,https://aswakassalam.com/produit/wings-de-poulet-marinees-1kg/,36.95
agriche-1kg-ahl-fes,AGRICHE 1KG AHL FES,charcuterie-traiteur,1kg,https://aswakassalam.com/produit/agriche-1kg-ahl-fes/,76.95
agriche-250g-ahl-fes,AGRICHE 250G AHL FES,charcuterie-traiteur,250g,https://aswakassalam.com/produit/agriche-250g-ahl-fes/,25.5
anchois-marines-a-loriental-200g-la-monegasque,ANCHOIS MARINES A L’ORIENTAL 200G LA MONEGASQUE,charcuterie-traiteur,200g,https://aswakassalam.com/produit/anchois-marines-a-loriental-200g-la-monegasque/,39.95
batonnets-de-surimi-saveur-crabe-200g-saint-malo,BATONNETS DE SURIMI SAVEUR CRABE 200G SAINT-MALO,charcuterie-traiteur,200g,https://aswakassalam.com/produit/batonnets-de-surimi-saveur-crabe-200g-saint-malo/,23.95
caviar-noir-100g-skandia,CAVIAR NOIR 100G SKANDIA,charcuterie-traiteur,100g,https://aswakassalam.com/produit/caviar-noir-100g-skandia/,59.5
caviar-noir-50g-skandia,CAVIAR NOIR 50G SKANDIA,charcuterie-traiteur,50g,https://aswakassalam.com/produit/caviar-noir-50g-skandia/,37.5
caviar-rouge-100g-skandia,CAVIAR ROUGE 100G SKANDIA,charcuterie-traiteur,100g,https://aswakassalam.com/produit/caviar-rouge-100g-skandia/,59.5
caviar-rouge-50g-skandia,CAVIAR ROUGE 50G SKANDIA,charcuterie-traiteur,50g,https://aswakassalam.com/produit/caviar-rouge-50g-skandia/,37.5
cuisse-de-dinde-au-poivre-80g-dindy,CUISSE DE DINDE AU POIVRE 80G DINDY,charcuterie-traiteur,80g,https://aswakassalam.com/produit/cuisse-de-dinde-au-poivre-80g-dindy/,10.5
cuisse-de-dinde-fumee-au-poivre-80g-dar-al-lahm,CUISSE DE DINDE FUMEE AU POIVRE 80G DAR AL LAHM,charcuterie-traiteur,80g,https://aswakassalam.com/produit/cuisse-de-dinde-fumee-au-poivre-80g-dar-al-lahm/,14.95
feuilles-de-brick-10-unites-170g-mil-brick,FEUILLES DE BRICK 10 UNITES 170G MIL BRICK,charcuterie-traiteur,170g,https://aswakassalam.com/produit/feuilles-de-brick-10-unites-170g-mil-brick/,24.5
filet-de-dinde-fume-80g-dar-al-lahm,FILET DE DINDE FUME 80G DAR AL LAHM,charcuterie-traiteur,80g,https://aswakassalam.com/produit/filet-de-dinde-fume-80g-dar-al-lahm/,14.95
filet-de-dinde-fume-tsv-80g,FILET DE DINDE FUME TSV 80G,charcuterie-traiteur,80g,https://aswakassalam.com/produit/filet-de-dinde-fume-tsv-80g/,11.5
filet-de-saumon-fume-100g-lassiette-nordique,FILET DE SAUMON FUME 100G L’ASSIETTE NORDIQUE,charcuterie-traiteur,100g,https://aswakassalam.com/produit/filet-de-saumon-fume-100g-lassiette-nordique/,49.9
filets-danchois-marines-a-lail-et-au-persil-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’AIL ET AU PERSIL 180G LE P’TIT PECHEUR,charcuterie-traiteur,180g,https://aswakassalam.com/produit/filets-danchois-marines-a-lail-et-au-persil-180g-le-ptit-pecheur/,26.95
filets-danchois-marines-a-lhuile-vegetale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’HUILE VEGETALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,180g,https://aswakassalam.com/produit/filets-danchois-marines-a-lhuile-vegetale-180g-le-ptit-pecheur/,26.95
filets-danchois-marines-a-lorientale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’ORIENTALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,180g,https://aswakassalam.com/produit/filets-danchois-marines-a-lorientale-180g-le-ptit-pecheur/,26.95
filets-danchois-marines-a-la-provencale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A LA PROVENCALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,180g,https://aswakassalam.com/produit/filets-danchois-marines-a-la-provencale-180g-le-ptit-pecheur/,26.95
filets-danchois-roules-aux-olives-farcies-180g-king-generation,FILETS D’ANCHOIS ROULES AUX OLIVES FARCIES 180G KING GENERATION,charcuterie-traiteur,180g,https://aswakassalam.com/produit/filets-danchois-roules-aux-olives-farcies-180g-king-generation/,35.95
filets-de-saumon-fumes-100g-les-domaines,FILETS DE SAUMON FUMÉS 100G LES DOMAINES,charcuterie-traiteur,100g,https://aswakassalam.com/produit/filets-de-saumon-fumes-100g-les-domaines/,63.95
hot-dog-250g-dindy,HOT DOG 250G DINDY,charcuterie-traiteur,250g,https://aswakassalam.com/produit/hot-dog-250g-dindy/,18.5
hot-dog-de-boeuf-250g-jayda,HOT DOG DE BOEUF 250G JAYDA,charcuterie-traiteur,250g,https://aswakassalam.com/produit/hot-dog-de-boeuf-250g-jayda/,25.95
hot-dog-de-dinde-250g-jayda,HOT DOG DE DINDE 250G JAYDA,charcuterie-traiteur,250g,https://aswakassalam.com/produit/hot-dog-de-dinde-250g-jayda/,13.95
hot-dog-poulet-250g-delpacha,HOT DOG POULET 250G DELPACHA,charcuterie-traiteur,250g,https://aswakassalam.com/produit/hot-dog-poulet-250g-delpacha/,20.5
hot-dog-poulet-au-fromage-250g-delpacha,HOT DOG POULET AU FROMAGE 250G DELPACHA,charcuterie-traiteur,250g,https://aswakassalam.com/produit/hot-dog-poulet-au-fromage-250g-delpacha/,24.5
jambon-de-boeuf-fume-80g-jayda,JAMBON DE BOEUF FUME 80G JAYDA,charcuterie-traiteur,80g,https://aswakassalam.com/produit/jambon-de-boeuf-fume-80g-jayda/,16.5
jambon-de-b%c2%8cuf-fume-80g-dar-al-lahm,JAMBON DE BUF FUME 80G DAR AL LAHM,charcuterie-traiteur,80g,https://aswakassalam.com/produit/jambon-de-b%c2%8cuf-fume-80g-dar-al-lahm/,18.5
jambon-de-dinde-aux-fines-herbes-80g-dar-al-lahm,JAMBON DE DINDE AUX FINES HERBES 80G DAR AL LAHM,charcuterie-traiteur,80g,https://aswakassalam.com/produit/jambon-de-dinde-aux-fines-herbes-80g-dar-al-lahm/,14.95
jambon-de-dinde-aux-fines-herbes-80g-del-pacha,JAMBON DE DINDE AUX FINES HERBES 80G DEL PACHA,charcuterie-traiteur,80g,https://aswakassalam.com/produit/jambon-de-dinde-aux-fines-herbes-80g-del-pacha/,16.5
jambon-de-dinde-paprika-80g-dar-al-lahm,JAMBON DE DINDE PAPRIKA 80G DAR AL LAHM,charcuterie-traiteur,80g,https://aswakassalam.com/produit/jambon-de-dinde-paprika-80g-dar-al-lahm/,14.95
