date,product_id,produit,categorie,prix,source_url
2026-09-07,cuisse-de-dinde-fumee-au-poivre-80g-dar-al-lahm,CUISSE DE DINDE FUMEE AU POIVRE 80G DAR AL LAHM,charcuterie-traiteur,14.95,https://aswakassalam.com/produit/cuisse-de-dinde-fumee-au-poivre-80g-dar-al-lahm/
2026-09-07,feuilles-de-brick-10-unites-170g-mil-brick,FEUILLES DE BRICK 10 UNITES 170G MIL BRICK,charcuterie-traiteur,24.5,https://aswakassalam.com/produit/feuilles-de-brick-10-unites-170g-mil-brick/
2026-09-07,filet-de-dinde-fume-80g-dar-al-lahm,FILET DE DINDE FUME 80G DAR AL LAHM,charcuterie-traiteur,14.95,https://aswakassalam.com/produit/filet-de-dinde-fume-80g-dar-al-lahm/
2026-09-07,filet-de-dinde-fume-tsv-80g,FILET DE DINDE FUME TSV 80G,charcuterie-traiteur,11.5,https://aswakassalam.com/produit/filet-de-dinde-fume-tsv-80g/
2026-09-07,filet-de-saumon-fume-100g-lassiette-nordique,FILET DE SAUMON FUME 100G L’ASSIETTE NORDIQUE,charcuterie-traiteur,49.9,https://aswakassalam.com/produit/filet-de-saumon-fume-100g-lassiette-nordique/
2026-09-07,filets-danchois-marines-a-lail-et-au-persil-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’AIL ET AU PERSIL 180G LE P’TIT PECHEUR,charcuterie-traiteur,26.95,https://aswakassalam.com/produit/filets-danchois-marines-a-lail-et-au-persil-180g-le-ptit-pecheur/
2026-09-07,filets-danchois-marines-a-lhuile-vegetale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’HUILE VEGETALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,26.95,https://aswakassalam.com/produit/filets-danchois-marines-a-lhuile-vegetale-180g-le-ptit-pecheur/
2026-09-07,filets-danchois-marines-a-lorientale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A L’ORIENTALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,26.95,https://aswakassalam.com/produit/filets-danchois-marines-a-lorientale-180g-le-ptit-pecheur/
2026-09-07,filets-danchois-marines-a-la-provencale-180g-le-ptit-pecheur,FILETS D’ANCHOIS MARINES A LA PROVENCALE 180G LE P’TIT PECHEUR,charcuterie-traiteur,26.95,https://aswakassalam.com/produit/filets-danchois-marines-a-la-provencale-180g-le-ptit-pecheur/
2026-09-07,filets-danchois-roules-aux-olives-farcies-180g-king-generation,FILETS D’ANCHOIS ROULES AUX OLIVES FARCIES 180G KING GENERATION,charcuterie-traiteur,35.95,https://aswakassalam.com/produit/filets-danchois-roules-aux-olives-farcies-180g-king-generation/
2026-09-07,filets-de-saumon-fumes-100g-les-domaines,FILETS DE SAUMON FUMÉS 100G LES DOMAINES,charcuterie-traiteur,63.95,https://aswakassalam.com/produit/filets-de-saumon-fumes-100g-les-domaines/
2026-09-07,hot-dog-250g-dindy,HOT DOG 250G DINDY,charcuterie-traiteur,18.5,https://aswakassalam.com/produit/hot-dog-250g-dindy/
2026-09-07,hot-dog-de-boeuf-250g-jayda,HOT DOG DE BOEUF 250G JAYDA,charcuterie-traiteur,25.95,https://aswakassalam.com/produit/hot-dog-de-boeuf-250g-jayda/
2026-09-07,hot-dog-de-dinde-250g-jayda,HOT DOG DE DINDE 250G JAYDA,charcuterie-traiteur,13.95,https://aswakassalam.com/produit/hot-dog-de-dinde-250g-jayda/
2026-09-07,hot-dog-poulet-250g-delpacha,HOT DOG POULET 250G DELPACHA,charcuterie-traiteur,20.5,https://aswakassalam.com/produit/hot-dog-poulet-250g-delpacha/
2026-09-07,hot-dog-poulet-au-fromage-250g-delpacha,HOT DOG POULET AU FROMAGE 250G DELPACHA,charcuterie-traiteur,24.5,https://aswakassalam.com/produit/hot-dog-poulet-au-fromage-250g-delpacha/
2026-09-07,jambon-de-boeuf-fume-80g-jayda,JAMBON DE BOEUF FUME 80G JAYDA,charcuterie-traiteur,16.5,https://aswakassalam.com/produit/jambon-de-boeuf-fume-80g-jayda/
2026-09-07,jambon-de-b%c2%8cuf-fume-80g-dar-al-lahm,JAMBON DE BUF FUME 80G DAR AL LAHM,charcuterie-traiteur,18.5,https://aswakassalam.com/produit/jambon-de-b%c2%8cuf-fume-80g-dar-al-lahm/
2026-09-07,jambon-de-dinde-aux-fines-herbes-80g-dar-al-lahm,JAMBON DE DINDE AUX FINES HERBES 80G DAR AL LAHM,charcuterie-traiteur,14.95,https://aswakassalam.com/produit/jambon-de-dinde-aux-fines-herbes-80g-dar-al-lahm/
2026-09-07,jambon-de-dinde-aux-fines-herbes-80g-del-pacha,JAMBON DE DINDE AUX FINES HERBES 80G DEL PACHA,charcuterie-traiteur,16.5,https://aswakassalam.com/produit/jambon-de-dinde-aux-fines-herbes-80g-del-pacha/
2026-09-07,jambon-de-dinde-paprika-80g-dar-al-lahm,JAMBON DE DINDE PAPRIKA 80G DAR AL LAHM,charcuterie-traiteur,14.95,https://aswakassalam.com/produit/jambon-de-dinde-paprika-80g-dar-al-lahm/
2026-09-07,jambon-de-dinde-superieur-80g-dindy,JAMBON DE DINDE SUPERIEUR 80G DINDY,charcuterie-traiteur,10.5,https://aswakassalam.com/produit/jambon-de-dinde-superieur-80g-dindy/
2026-09-07,jambon-de-poulet-80g-del-pacha,JAMBON DE POULET 80G DEL PACHA,charcuterie-traiteur,17.5,https://aswakassalam.com/produit/jambon-de-poulet-80g-del-pacha/
2026-09-07,jambon-de-poulet-marbre-80g-del-pacha,JAMBON DE POULET MARBRE 80G DEL PACHA,charcuterie-traiteur,17.5,https://aswakassalam.com/produit/jambon-de-poulet-marbre-80g-del-pacha/
2026-09-07,jambon-duo-de-boeuf-et-poulet-80g-del-pacha,JAMBON DUO DE BOEUF ET POULET 80G DEL PACHA,charcuterie-traiteur,20.5,https://aswakassalam.com/produit/jambon-duo-de-boeuf-et-poulet-80g-del-pacha/
2026-09-07,kasher-cocktail-600g-jayda,KASHER COCKTAIL 600G JAYDA,charcuterie-traiteur,18.5,https://aswakassalam.com/produit/kasher-cocktail-600g-jayda/
2026-09-07,kasher-piquant-380g-dindy,KASHER PIQUANT 380G DINDY,charcuterie-traiteur,18.5,https://aswakassalam.com/produit/kasher-piquant-380g-dindy/
2026-09-07,baby-edam-900g-irish,Baby Edam 900g – IRISH,cremerie,88.95,https://aswakassalam.com/produit/baby-edam-900g-irish/
2026-09-07,fromage-blanc-a-tartiner-900g-le-berger,Fromage blanc à tartiner 900g – LE BERGER,cremerie,44.95,https://aswakassalam.com/produit/fromage-blanc-a-tartiner-900g-le-berger/
2026-09-07,lot-de-2-fromage-frais-a-tartiner-jben-160g-jibal,Lot de 2 fromage frais à tartiner Jben 160g – JIBAL,cremerie,17.95,https://aswakassalam.com/produit/lot-de-2-fromage-frais-a-tartiner-jben-160g-jibal/
2026-09-07,pack-de-16-pots-raibi-jamila-165g-danone,Pack de 16 pots Raïbi Jamila 165g – DANONE,cremerie,32.95,https://aswakassalam.com/produit/pack-de-16-pots-raibi-jamila-165g-danone/
2026-09-07,4-fromages-rapes-175g-or-blanc,4 FROMAGES RAPES 175G OR BLANC,cremerie,18.95,https://aswakassalam.com/produit/4-fromages-rapes-175g-or-blanc/
2026-09-07,beurre-1-kg-centrale,BEURRE 1 KG CENTRALE,cremerie,83.95,https://aswakassalam.com/produit/beurre-1-kg-centrale/
2026-09-07,beurre-1kg-jaouda,BEURRE 1KG JAOUDA,cremerie,99.95,https://aswakassalam.com/produit/beurre-1kg-jaouda/
